,0
0,43.057499
1,43.2575
2,43.75
3,43.587502
4,43.5825
5,43.572498
6,43.82
7,44.272499
8,44.047501
9,44.775002
10,44.814999
11,44.615002
12,44.25
13,44.259998
14,43.555
15,42.7775
16,42.877499
17,41.990002
18,41.7425
19,41.857498
20,41.945
21,40.125
22,39.122501
23,40.7575
24,39.884998
25,38.787498
26,39.102501
27,40.677502
28,41.084999
29,41.842499
30,43.247501
31,43.107498
32,42.962502
33,42.767502
34,43.125
35,43.875
36,44.7425
37,44.5975
38,44.529999
39,43.75
40,44.052502
41,44.205002
42,44.1675
43,43.7575
44,44.235001
45,44.994999
46,45.43
47,44.9925
48,44.610001
49,44.662498
50,44.505001
51,43.825001
52,43.810001
53,42.817501
54,42.212502
55,41.235001
56,43.192501
57,42.084999
58,41.619999
59,41.945
60,41.669998
61,42.0975
62,42.9025
63,43.200001
64,42.095001
65,42.512501
66,43.3125
67,43.110001
68,43.535
69,43.682499
70,43.955002
71,44.560001
72,44.459999
73,43.200001
74,41.43
75,41.310001
76,40.735001
77,40.912498
78,41.055
79,40.580002
80,41.314999
81,42.275002
82,44.142502
83,44.2225
84,45.9575
85,46.290001
86,46.512501
87,46.84
88,47.509998
89,47.147499
90,47.037498
91,46.610001
92,47.044998
93,46.747501
94,46.577499
95,46.907501
96,46.790001
97,47.09
98,47.037498
99,47.145
100,46.974998
101,46.875
102,46.717499
103,47.560001
104,47.9575
105,48.327499
106,48.494999
107,48.365002
108,47.924999
109,47.807499
110,48.07
111,47.674999
112,47.700001
113,47.209999
114,47.185001
115,46.422501
116,46.625
117,46.365002
118,46.23
119,45.5425
120,46.107498
121,46.040001
122,46.375
123,46.2775
124,46.794998
125,45.98
126,46.349998
127,46.9925
128,47.645
129,47.587502
130,46.970001
131,47.7575
132,47.8325
133,47.727501
134,47.862499
135,47.599998
136,47.970001
137,47.860001
138,47.9025
139,48.25
140,48.705002
141,48.552502
142,47.744999
143,47.477501
144,47.572498
145,50.375
146,51.8475
147,51.997501
148,52.267502
149,51.7775
150,51.8125
151,52.220001
152,51.8825
153,52.217499
154,52.4375
155,52.560001
156,53.330002
157,54.395
158,53.865002
159,53.759998
160,53.762501
161,53.872501
162,54.040001
163,54.485001
164,54.924999
165,55.744999
166,56.2575
167,56.907501
168,57.09
169,56.717499
170,55.775002
171,55.325001
172,54.5825
173,55.962502
174,55.267502
175,56.602501
176,55.959999
177,54.470001
