,,Train MAE,Train RMSE,Test MAE,Test RMSE,Best Params
Without FE,0,1.483713017608516,2.1859554840700968,2.1038135431112654,2.6571830435064303,{'regressor__fit_intercept': True}
Without FE,1,1.4835694481781478,2.2142027048692086,1.6804044900328576,2.190980918513913,"{'regressor__alpha': 0.5, 'regressor__max_iter': 1000}"
Without FE,2,0.5775665960268129,0.8685826419954396,9.29799390352068,11.644006392807945,"{'criterion': 'squared_error', 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
Without FE,3,0.01628717007098736,0.022110681780771458,0.05963062756469401,0.07049195568654555,"{'batch_size': 64, 'epochs': 50, 'optimizer': 'adam'}"
Boruta,0,1.4792214977389937,2.206673358769926,1.8145058990046103,2.35011916382835,{'regressor__fit_intercept': True}
Boruta,1,1.4844307782338277,2.221659498469237,1.6781161374584839,2.1908176155529504,"{'regressor__alpha': 0.5, 'regressor__max_iter': 1000}"
Boruta,2,0.5589811012043473,0.8342923496102603,9.265825112420487,11.75741475994896,"{'criterion': 'squared_error', 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
Boruta,3,0.017911378339171176,0.02459860903887714,0.06480527155444078,0.07557734784637403,"{'batch_size': 64, 'epochs': 50, 'optimizer': 'adam'}"
PCA,0,1.9251076595545102,2.6937550025082344,75.5881103892067,80.69087579666459,{'regressor__fit_intercept': True}
PCA,1,2.077837030639737,2.850733801978098,75.5881103892067,80.64363038742681,"{'regressor__alpha': 0.5, 'regressor__max_iter': 1000}"
PCA,2,1.2014324629283937,1.7061480110626799,68.88395337182598,72.56227202128696,"{'criterion': 'squared_error', 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
PCA,3,0.015957109703159437,0.022694817777069977,0.5047035349068754,0.5344282972177129,"{'batch_size': 64, 'epochs': 50, 'optimizer': 'adam'}"
t-SNE,0,12.969487318507941,15.906424908934216,72.81989232306057,77.30222211061135,{'regressor__fit_intercept': True}
t-SNE,1,12.968160023444815,15.90786856767578,72.81462932421255,77.30339537641069,"{'regressor__alpha': 0.5, 'regressor__max_iter': 1000}"
t-SNE,2,1.1843414156724255,1.6930920036165866,74.40850238601128,81.99219527962836,"{'criterion': 'squared_error', 'max_depth': 24, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
t-SNE,3,0.034654163646296206,0.04606098225814088,0.4845895504796303,0.5354935265480484,"{'batch_size': 32, 'epochs': 100, 'optimizer': 'adam'}"
