,0
0,21.15
1,20.974667
2,21.105333
3,22.427334
4,22.246
5,22.32
6,22.530001
7,22.414667
8,22.670668
9,23.143999
10,22.971333
11,23.334667
12,23.437332
13,23.519333
14,23.059334
15,22.509333
16,22.856667
17,23.302
18,23.054667
19,23.620667
20,23.283333
21,22.916668
22,22.208668
23,22.264668
24,23.0
25,21.015333
26,20.694668
27,21.048668
28,21.577333
29,21.487333
30,22.271334
31,22.365999
32,22.318001
33,22.219999
34,23.077999
35,23.469999
36,23.827999
37,23.399332
38,22.870667
39,22.062
40,22.341333
41,22.223333
42,21.879999
43,22.153334
44,21.940001
45,21.811333
46,23.034
47,22.789333
48,21.775333
49,21.706667
50,21.423332
51,20.903999
52,20.703333
53,21.101999
54,20.606667
55,20.102667
56,20.278667
57,18.612
58,17.185333
59,17.742001
60,16.832001
61,17.835333
62,19.129333
63,20.381332
64,19.953333
65,19.310667
66,20.313334
67,20.062
68,19.605333
69,20.022667
70,19.414
71,19.179333
72,19.556667
73,20.005333
74,19.349333
75,18.891333
76,18.897333
77,18.712667
78,19.032
79,19.605333
80,19.593332
81,19.994667
82,20.076668
83,18.963333
84,19.606001
85,20.184668
86,20.131332
87,20.456667
88,20.334667
89,20.070667
90,19.464666
91,18.945333
92,19.098667
93,18.969334
94,18.454666
95,18.966
96,18.334
97,18.604668
98,18.523333
99,18.59
100,18.917334
101,19.448
102,18.982
103,19.454666
104,19.782667
105,19.408667
106,21.299999
107,21.072666
108,21.177334
109,22.139999
110,22.851334
111,22.985332
112,23.848
113,23.878
114,24.722
115,23.503332
116,24.148001
117,23.167334
118,22.242001
119,22.200666
120,22.799999
121,22.966667
122,23.328667
123,22.863333
124,22.337999
125,20.724001
126,20.610666
127,20.593332
128,21.233999
129,21.497999
130,21.264
131,21.114
132,21.257999
133,20.673332
134,21.512667
135,21.59
136,21.348667
137,20.905333
138,20.213333
139,19.828667
140,20.582666
141,20.443333
142,19.812
143,19.344667
144,19.875999
145,20.056
146,23.302668
147,23.211332
148,22.799334
149,25.304667
150,24.689333
151,23.496668
152,23.699333
153,23.760668
154,23.176001
155,22.579332
156,22.363333
157,20.366667
158,20.562668
159,21.459999
160,21.442667
161,21.34
162,21.521334
163,21.284666
164,20.790667
165,20.334
166,20.209999
167,20.110666
168,19.263332
169,18.716
170,18.73
171,17.549334
172,19.033333
173,18.629333
174,19.369333
175,19.297333
176,19.68
177,19.656
178,18.997334
179,19.934668
180,19.888666
181,19.940001
182,19.978666
183,20.066
184,20.638666
185,20.501333
186,17.651333
187,20.713333
188,20.068001
189,19.653334
190,18.788668
191,17.463333
192,16.704
193,17.52
194,17.125334
195,16.815332
196,17.252001
197,17.306
198,18.439333
199,18.118668
200,17.594
201,17.333332
202,17.396667
203,19.609333
204,19.233334
205,20.990667
206,22.059999
207,22.323334
208,21.993334
209,22.488001
210,22.952
211,23.094
212,22.76
213,22.737333
214,23.210667
215,23.426666
216,23.367332
217,22.085333
218,22.582001
219,22.933332
220,23.229334
221,23.620667
222,23.564667
223,23.166
224,22.546
225,21.722
226,23.066668
227,22.927999
228,23.191334
229,22.744667
230,23.365334
231,23.899332
232,23.98
233,24.204
234,23.864668
235,24.343332
236,24.450666
237,24.440001
238,25.119333
239,24.380667
240,23.228001
241,22.468666
242,22.198
243,21.025333
244,21.318001
245,19.692667
246,21.739332
247,21.075333
248,22.257999
249,22.186666
250,20.674667
251,20.024
252,21.179333
253,22.330667
254,22.356667
255,22.568666
256,22.997999
257,23.150667
258,22.293333
259,22.962
260,23.07
261,23.153999
262,20.150667
263,19.927999
264,19.172667
265,19.434
266,19.802668
267,19.758667
268,19.830667
269,20.584667
270,20.468
271,20.813999
272,20.859333
273,21.423332
274,21.148001
275,20.500668
276,20.386667
277,20.856001
278,20.787333
279,20.544666
280,20.251333
281,20.525333
282,20.375999
283,20.170668
284,19.415333
285,19.647333
286,19.917999
287,19.857332
288,20.982668
289,21.325333
290,19.652666
291,19.024
292,18.436001
293,18.416
294,18.439333
295,18.942667
296,19.394667
297,18.890667
298,19.264
299,19.330667
300,18.362
301,17.966
302,17.831333
303,18.24
304,18.268
305,17.635332
306,17.361334
307,17.851334
308,18.322001
309,18.574667
310,18.657333
311,19.278667
312,19.058666
313,19.454
314,17.851999
315,18.330667
316,18.213333
317,18.153999
318,18.403999
319,17.894667
320,17.846666
321,17.758667
322,18.224001
323,18.082001
324,18.217333
325,17.516666
326,17.593332
327,17.243999
328,16.508667
329,15.676
330,16.098
331,15.912667
332,15.600667
333,16.273333
334,17.002001
335,17.022667
